dataset,seed,n_samples,n_features,n_classes,dummy_test_acc,baseline_train_acc,baseline_val_acc,baseline_test_acc,baseline_train_f1,baseline_val_f1,baseline_test_f1,baseline_train_val_gap,baseline_train_test_gap,baseline_coef_norm,best_C,best_alpha,l2_train_acc,l2_val_acc,l2_test_acc,l2_train_f1,l2_val_f1,l2_test_f1,l2_train_val_gap,l2_train_test_gap,l2_coef_norm
sklearn_wine,7,178,13,3,0.2962962962962963,1.0,0.9629629629629629,0.9259259259259259,1.0,0.9633156966490298,0.9259259259259259,0.03703703703703709,0.07407407407407407,9.230263015945079,0.01,100.0,0.9919354838709677,1.0,1.0,0.991954936947715,1.0,1.0,-0.008064516129032251,-0.008064516129032251,0.7048841193083273
sklearn_wine,21,178,13,3,0.2962962962962963,1.0,0.9259259259259259,0.9629629629629629,1.0,0.9259259259259259,0.9626102292768961,0.07407407407407407,0.03703703703703709,9.401155023681268,0.1,10.0,1.0,0.9259259259259259,1.0,1.0,0.926071169208424,1.0,0.07407407407407407,0.0,1.687937932029284
sklearn_wine,42,178,13,3,0.37037037037037035,1.0,0.9629629629629629,1.0,1.0,0.9629629629629629,1.0,0.03703703703703709,0.0,10.604183465401237,0.01,100.0,0.9919354838709677,1.0,1.0,0.991954936947715,1.0,1.0,-0.008064516129032251,-0.008064516129032251,0.7062023070075624
sklearn_breast_cancer,7,569,30,2,0.5697674418604651,1.0,0.9647058823529412,0.9534883720930233,1.0,0.9645906960915207,0.9539619067662843,0.03529411764705881,0.046511627906976716,4265.506219928345,0.3,3.3333333333333335,0.9849246231155779,0.9882352941176471,0.9883720930232558,0.9848811900336648,0.9881968986971735,0.9884072024476285,-0.0033106710020691654,-0.003447469907677858,2.3699863511051067
sklearn_breast_cancer,21,569,30,2,0.5581395348837209,1.0,0.9647058823529412,0.9418604651162791,1.0,0.9648093083387201,0.9423315317102197,0.03529411764705881,0.05813953488372092,6223.91927666829,0.1,10.0,0.9748743718592965,1.0,0.9651162790697675,0.9747232443934458,1.0,0.9647298842876425,-0.025125628140703515,0.009758092789528994,1.7072720409545195
sklearn_breast_cancer,42,569,30,2,0.5465116279069767,1.0,0.9882352941176471,0.9418604651162791,1.0,0.9881968986971735,0.9412164738127377,0.0117647058823529,0.05813953488372092,507.5169095604419,0.1,10.0,0.9849246231155779,0.9882352941176471,0.9767441860465116,0.9848811900336648,0.98826976944624,0.9765805087635545,-0.0033106710020691654,0.008180437069066349,1.7177432326040962
uci_glass_identification,7,214,9,6,0.12121212121212122,0.7315436241610739,0.59375,0.6363636363636364,0.7066113830243281,0.5449862637362637,0.6060254721124286,0.13779362416107388,0.09517998779743753,56.721173511670074,100.0,0.01,0.7315436241610739,0.625,0.6363636363636364,0.7063656701240594,0.6000457875457875,0.6128797289666855,0.10654362416107388,0.09517998779743753,23.728587379037112
uci_glass_identification,21,214,9,6,0.3939393939393939,0.7785234899328859,0.65625,0.48484848484848486,0.7788330142254,0.6519345238095238,0.5077134986225895,0.12227348993288589,0.29367500508440103,100.89274994497616,100.0,0.01,0.785234899328859,0.6875,0.48484848484848486,0.7852436351097786,0.6781250000000001,0.5040404040404041,0.09773489932885904,0.3003864144803742,29.79782672183565
uci_glass_identification,42,214,9,6,0.30303030303030304,0.7248322147651006,0.5625,0.696969696969697,0.7127045802425527,0.5307088744588744,0.685032139577594,0.16233221476510062,0.027862517795403607,364.9715271343981,0.3,3.3333333333333335,0.6510067114093959,0.71875,0.6666666666666666,0.6223278664112293,0.6830018939393939,0.6412375503284594,-0.06774328859060408,-0.015659955257270708,3.0404429193771594
uci_connectionist_bench_sonar,7,208,60,2,0.40625,1.0,0.7096774193548387,0.71875,1.0,0.7084485407066052,0.719024926686217,0.29032258064516125,0.28125,118.03144268990178,0.03,33.333333333333336,0.8896551724137931,0.967741935483871,0.6875,0.8897288198006259,0.9676053934118449,0.6850490196078431,-0.07808676307007789,0.2021551724137931,0.8011161189809003
uci_connectionist_bench_sonar,21,208,60,2,0.46875,1.0,0.7419354838709677,0.84375,1.0,0.7408602150537634,0.8439027370478984,0.25806451612903225,0.15625,200.75949305845816,0.1,10.0,0.8689655172413793,0.8709677419354839,0.84375,0.8690155280167272,0.8704301075268818,0.843291788856305,-0.002002224694104604,0.02521551724137927,1.3657022005742796
uci_connectionist_bench_sonar,42,208,60,2,0.46875,1.0,0.6451612903225806,0.84375,1.0,0.6436593275302952,0.843291788856305,0.3548387096774194,0.15625,239.41952729109695,100.0,0.01,1.0,0.7741935483870968,0.8125,1.0,0.7697994768962511,0.8125,0.22580645161290325,0.1875,28.06362974892136
